carrier_1,carrier_2,region_2,region_2,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4,length
gas,hydrogen,DE13,DE14,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE14,DE13,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE14,DE11,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE27,DE11,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE11,DE12,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE13,DE12,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE11,DE14,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE12,DE11,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE40,DE30,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE93,DE60,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DEF0,DE60,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE30,DE40,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE60,DE93,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE60,DEF0,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
