region_1,region_2,carrier_1,parameter,timestep_2,value
HU,HU,electricity,dem,d012,3.286348604
IE,IE,electricity,dem,d012,2.661431266
IT,IT,electricity,dem,d012,13.39508364
LU,LU,electricity,dem,d012,0.832390868
NL,NL,electricity,dem,d012,7.54853366
NO,NO,electricity,dem,d012,14.33951368
PL,PL,electricity,dem,d012,16.55056512
PT,PT,electricity,dem,d012,4.799173508
RO,RO,electricity,dem,d012,6.020826701
SE,SE,electricity,dem,d012,15.06082979
SI,SI,electricity,dem,d012,0.917921611
SK,SK,electricity,dem,d012,2.068062842
UK,UK,electricity,dem,d012,34.64402601
EE,EE,electricity,dem,d012,0.86914763
LT,LT,electricity,dem,d012,0.511449786
LV,LV,electricity,dem,d012,0.734556858
NONEU_Balkan,NONEU_Balkan,electricity,dem,d012,5.877341873
TR,TR,electricity,dem,d012,28.26395163
AT,AT,electricity,dem,d013,4.171327287
BE,BE,electricity,dem,d013,5.236354198
BG,BG,electricity,dem,d013,4.413275096
CH,CH,electricity,dem,d013,9.444230733
CZ,CZ,electricity,dem,d013,5.087530171
DK,DK,electricity,dem,d013,4.476084924
ES,ES,electricity,dem,d013,25.56631886
FI,FI,electricity,dem,d013,2.472358048
FR,FR,electricity,dem,d013,62.34174275
GR,GR,electricity,dem,d013,6.228944308
HR,HR,electricity,dem,d013,2.100194978
HU,HU,electricity,dem,d013,3.169782793
IE,IE,electricity,dem,d013,2.623684107
IT,IT,electricity,dem,d013,12.06148809
LU,LU,electricity,dem,d013,0.746775575
NL,NL,electricity,dem,d013,7.176459818
NO,NO,electricity,dem,d013,14.45479438
PL,PL,electricity,dem,d013,15.11194099
PT,PT,electricity,dem,d013,4.538569329
RO,RO,electricity,dem,d013,5.588604486
SE,SE,electricity,dem,d013,15.30687017
SI,SI,electricity,dem,d013,0.896483035
SK,SK,electricity,dem,d013,2.02679748
UK,UK,electricity,dem,d013,34.81031574
EE,EE,electricity,dem,d013,0.861053086
LT,LT,electricity,dem,d013,0.529492612
LV,LV,electricity,dem,d013,0.736853209
NONEU_Balkan,NONEU_Balkan,electricity,dem,d013,6.076044531
TR,TR,electricity,dem,d013,25.49092331
AT,AT,electricity,dem,d014,5.129837125
BE,BE,electricity,dem,d014,6.046879868
BG,BG,electricity,dem,d014,4.63199357
CH,CH,electricity,dem,d014,10.99768451
CZ,CZ,electricity,dem,d014,5.99969153
DK,DK,electricity,dem,d014,5.112994118
ES,ES,electricity,dem,d014,30.65295588
FI,FI,electricity,dem,d014,2.590547258
FR,FR,electricity,dem,d014,73.63615166
GR,GR,electricity,dem,d014,7.062925076
HR,HR,electricity,dem,d014,2.321709122
HU,HU,electricity,dem,d014,3.613784782
IE,IE,electricity,dem,d014,2.935592916
IT,IT,electricity,dem,d014,15.26421694
LU,LU,electricity,dem,d014,0.899409764
NL,NL,electricity,dem,d014,8.676077806
NO,NO,electricity,dem,d014,15.67493843
PL,PL,electricity,dem,d014,18.1720776
PT,PT,electricity,dem,d014,5.450317836
RO,RO,electricity,dem,d014,6.459105777
SE,SE,electricity,dem,d014,17.01713144
SI,SI,electricity,dem,d014,1.030143923
SK,SK,electricity,dem,d014,2.262351796
UK,UK,electricity,dem,d014,39.70126445
EE,EE,electricity,dem,d014,0.920875313
LT,LT,electricity,dem,d014,0.60026205
LV,LV,electricity,dem,d014,0.825767932
NONEU_Balkan,NONEU_Balkan,electricity,dem,d014,5.97707468
TR,TR,electricity,dem,d014,28.90385152
AT,AT,electricity,dem,d015,5.146161171
BE,BE,electricity,dem,d015,6.09805323
BG,BG,electricity,dem,d015,4.577224225
